Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AACG,ATA Creativity Global American Depositary Shares,$1.5399,-0.1001,-6.104%,48317319.00,China,,30914,Miscellaneous,Service to the Health Industry
ABB,ABB Ltd Common Stock,$34.285,-0.265,-0.767%,68330005000.00,Switzerland,,1559535,Consumer Durables,Electrical Products
ABCM,Abcam plc American Depositary Shares,$22.53,-0.13,-0.574%,5154340313.00,United Kingdom,2020,92969,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,$10.08,0.00,0.00%,61024320.00,Hong Kong,2021,2,Finance,Business Services
ACBAU,Ace Global Business Acquisition Limited Unit,$10.5201,0.00,0.00%,0.00,Hong Kong,2021,11,Finance,Business Services
ACBAW,Ace Global Business Acquisition Limited Warrant,$0.51,0.00,0.00%,0.00,Hong Kong,2021,1000,Finance,Business Services
ACH,Aluminum Corporation of China Limited American Depositary Shares,$12.13,-0.20,-1.622%,8259400915.00,China,2001,145677,Basic Industries,Aluminum
ACHL,Achilles Therapeutics plc American Depositary Shares,$4.90,-0.20,-3.922%,198957096.00,United Kingdom,2021,60233,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACIU,AC Immune SA Common Stock,$4.90,-0.23,-4.483%,355998005.00,Switzerland,2016,255870,Health Care,Biotechnology: Pharmaceutical Preparations
ACN,Accenture plc Class A Ordinary Shares (Ireland),$363.29,5.89,1.648%,229468750630.00,Ireland,2001,1927118,Technology,EDP Services
ADAG,Adagene Inc. American Depositary Shares,$8.10,-0.12,-1.46%,441214152.00,China,2021,20120,Health Care,Biotechnology: Pharmaceutical Preparations
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$3.695,-0.455,-10.964%,577174002.00,United Kingdom,2015,1674919,Health Care,Biotechnology: Pharmaceutical Preparations
ADXN,Addex Therapeutics Ltd American Depositary Shares,$6.99,-0.02,-0.285%,39785892.00,Switzerland,,763,Health Care,Biotechnology: Pharmaceutical Preparations
AEG,AEGON N.V. Common Stock,$4.45,0.05,1.136%,8941809566.00,Netherlands,,2161965,Finance,Life Insurance
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),$2.01,-0.38,-15.90%,11928249.00,China,,414686,Capital Goods,Building Products
AER,AerCap Holdings N.V. Ordinary Shares,$54.70,-1.34,-2.391%,13394875174.00,Netherlands,2006,890563,Technology,Diversified Commercial Services
AFMD,Affimed N.V.,$6.735,-0.085,-1.246%,806833906.00,Germany,2014,1238461,Health Care,Biotechnology: Pharmaceutical Preparations
AGBA,AGBA Acquisition Limited Ordinary Share,$11.02,0.00,0.00%,58825972.00,Hong Kong,2019,6138,Finance,Business Services
AGBAR,AGBA Acquisition Limited Right,$0.2409,0.0006,0.25%,0.00,Hong Kong,2019,11030,Finance,Business Services
AGBAW,AGBA Acquisition Limited Warrant,$0.255,-0.025,-8.929%,0.00,Hong Kong,2019,8568,Finance,Business Services
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,$9.16,-0.32,-3.376%,264642064.00,Hong Kong,2018,88044,Technology,EDP Services
AGRO,Adecoagro S.A. Common Shares,$7.72,-0.09,-1.152%,869970938.00,Luxembourg,2011,1597304,,Farming/Seeds/Milling
